# time, fQ
0,0.704
10,0.591
20,0.545
30,0.525
40,0.506
50,0.491
60,0.464
70,0.459
80,0.465
90,0.417
100,0.419
110,0.411
120,0.375
130,0.371
140,0.376
150,0.342
160,0.357
170,0.336
180,0.307
190,0.314
200,0.322
210,0.281
220,0.280
230,0.288
240,0.295
250,0.265
260,0.250
270,0.253
280,0.242
290,0.219
300,0.219
310,0.210
320,0.204
330,0.211
340,0.234
350,0.223
360,0.221
370,0.188
380,0.189
390,0.204
400,0.192
410,0.177
420,0.181
430,0.192
440,0.169
450,0.135
460,0.126
470,0.112
480,0.120
490,0.123
500,0.137
510,0.126
520,0.119
530,0.135
540,0.114
550,0.104
560,0.124
570,0.116
580,0.120
590,0.120
600,0.114
610,0.101
620,0.118
630,0.096
640,0.122
650,0.122
660,0.096
670,0.099
680,0.097
690,0.080
700,0.085
710,0.087
720,0.080
730,0.092
740,0.093
750,0.077
760,0.093
770,0.087
780,0.074
790,0.072
800,0.069
810,0.078
820,0.065
830,0.065
840,0.089
850,0.083
860,0.080
870,0.073
880,0.069
890,0.069
900,0.069
910,0.054
920,0.064
930,0.051
940,0.061
950,0.068
960,0.062
970,0.072
980,0.069
990,0.066
1000,0.070
1010,0.064
1020,0.095
1030,0.083
1040,0.070
1050,0.062
1060,0.083
1070,0.066
1080,0.064
1090,0.050
1100,0.049
1110,0.049
1120,0.054
1130,0.055
1140,0.062
1150,0.053
1160,0.047
1170,0.055
1180,0.068
1190,0.065
1200,0.046
1210,0.039
1220,0.047
1230,0.039
1240,0.047
1250,0.066
1260,0.051
1270,0.047
1280,0.054
1290,0.053
1300,0.032
1310,0.030
1320,0.035
1330,0.032
1340,0.030
1350,0.032
1360,0.035
1370,0.032
1380,0.034
1390,0.041
1400,0.026
1410,0.026
1420,0.018
1430,0.015
1440,0.018
1450,0.018
1460,0.015
1470,0.012
1480,0.019
1490,0.008
1500,0.022
1510,0.028
1520,0.023
1530,0.016
1540,0.019
1550,0.018
1560,0.019
1570,0.019
1580,0.037
1590,0.031
1600,0.034
1610,0.039
1620,0.042
1630,0.037
1640,0.023
1650,0.020
1660,0.026
1670,0.022
1680,0.019
1690,0.019
1700,0.024
1710,0.027
1720,0.031
1730,0.035
1740,0.037
1750,0.028
1760,0.026
1770,0.027
1780,0.031
1790,0.031
1800,0.020
1810,0.022
1820,0.024
1830,0.024
1840,0.016
1850,0.023
1860,0.023
1870,0.031
1880,0.027
1890,0.032
1900,0.030
1910,0.035
1920,0.030
1930,0.027
1940,0.022
1950,0.026
1960,0.023
1970,0.016
1980,0.028
1990,0.037
2000,0.030
2010,0.028
2020,0.038
2030,0.024
2040,0.037
2050,0.039
2060,0.041
2070,0.035
2080,0.038
2090,0.049
2100,0.045
2110,0.039
2120,0.038
2130,0.042
2140,0.047
2150,0.037
2160,0.039
2170,0.039
2180,0.051
2190,0.065
2200,0.049
2210,0.032
2220,0.032
2230,0.039
2240,0.041
2250,0.041
2260,0.038
2270,0.032
2280,0.027
2290,0.032
2300,0.035
2310,0.039
2320,0.031
2330,0.027
2340,0.026
2350,0.031
2360,0.023
2370,0.024
2380,0.023
2390,0.024
2400,0.042
2410,0.032
2420,0.043
2430,0.045
2440,0.049
2450,0.035
2460,0.026
2470,0.032
2480,0.035
2490,0.050
2500,0.042
2510,0.032
2520,0.038
2530,0.026
2540,0.023
2550,0.018
2560,0.028
2570,0.034
2580,0.022
2590,0.019
2600,0.012
2610,0.018
2620,0.020
2630,0.020
2640,0.028
2650,0.024
2660,0.024
2670,0.015
2680,0.015
2690,0.019
2700,0.023
2710,0.024
2720,0.030
2730,0.022
2740,0.031
2750,0.026
2760,0.028
2770,0.034
2780,0.037
2790,0.035
2800,0.032
2810,0.031
2820,0.032
2830,0.037
2840,0.023
2850,0.027
2860,0.022
2870,0.022
2880,0.023
2890,0.018
2900,0.019
2910,0.023
2920,0.016
2930,0.022
2940,0.018
2950,0.008
2960,0.009
2970,0.019
2980,0.018
2990,0.016
3000,0.011
