# time, fQ
0,1.000
10,0.968
20,0.958
30,0.969
40,0.936
50,0.939
60,0.900
70,0.890
80,0.878
90,0.915
100,0.903
110,0.897
120,0.909
130,0.908
140,0.876
150,0.847
160,0.835
170,0.846
180,0.855
190,0.843
200,0.855
210,0.857
220,0.819
230,0.840
240,0.823
250,0.825
260,0.820
270,0.788
280,0.805
290,0.802
300,0.788
310,0.794
320,0.778
330,0.778
340,0.765
350,0.788
360,0.816
370,0.773
380,0.777
390,0.771
400,0.759
410,0.775
420,0.765
430,0.743
440,0.723
450,0.751
460,0.725
470,0.717
480,0.709
490,0.724
500,0.719
510,0.746
520,0.744
530,0.723
540,0.739
550,0.702
560,0.717
570,0.687
580,0.709
590,0.709
600,0.704
610,0.710
620,0.723
630,0.670
640,0.674
650,0.710
660,0.687
670,0.667
680,0.668
690,0.670
700,0.643
710,0.651
720,0.658
730,0.678
740,0.650
750,0.685
760,0.696
770,0.660
780,0.644
790,0.677
800,0.682
810,0.655
820,0.681
830,0.702
840,0.689
850,0.689
860,0.691
870,0.660
880,0.668
890,0.664
900,0.648
910,0.667
920,0.668
930,0.641
940,0.660
950,0.667
960,0.674
970,0.674
980,0.655
990,0.654
1000,0.644
1010,0.629
1020,0.640
1030,0.648
1040,0.645
1050,0.639
1060,0.664
1070,0.654
1080,0.658
1090,0.639
1100,0.645
1110,0.648
1120,0.666
1130,0.637
1140,0.645
1150,0.656
1160,0.636
1170,0.620
1180,0.620
1190,0.625
1200,0.613
1210,0.621
1220,0.606
1230,0.616
1240,0.617
1250,0.613
1260,0.639
1270,0.616
1280,0.612
1290,0.621
1300,0.628
1310,0.614
1320,0.613
1330,0.601
1340,0.590
1350,0.586
1360,0.548
1370,0.536
1380,0.562
1390,0.579
1400,0.591
1410,0.589
1420,0.558
1430,0.563
1440,0.558
1450,0.553
1460,0.528
1470,0.536
1480,0.547
1490,0.548
1500,0.560
1510,0.518
1520,0.520
1530,0.498
1540,0.498
1550,0.505
1560,0.493
1570,0.521
1580,0.486
1590,0.501
1600,0.503
1610,0.514
1620,0.502
1630,0.510
1640,0.520
1650,0.503
1660,0.509
1670,0.505
1680,0.522
1690,0.495
1700,0.483
1710,0.493
1720,0.483
1730,0.482
1740,0.478
1750,0.463
1760,0.484
1770,0.474
1780,0.475
1790,0.465
1800,0.449
1810,0.468
1820,0.451
1830,0.482
1840,0.475
1850,0.480
1860,0.491
1870,0.480
1880,0.502
1890,0.499
1900,0.517
1910,0.509
1920,0.509
1930,0.512
1940,0.502
1950,0.507
1960,0.521
1970,0.503
1980,0.478
1990,0.468
2000,0.499
2010,0.474
2020,0.467
2030,0.447
2040,0.434
2050,0.445
2060,0.440
2070,0.418
2080,0.432
2090,0.414
2100,0.419
2110,0.447
2120,0.449
2130,0.449
2140,0.448
2150,0.455
2160,0.453
2170,0.472
2180,0.465
2190,0.467
2200,0.493
2210,0.483
2220,0.497
2230,0.476
2240,0.497
2250,0.494
2260,0.488
2270,0.487
2280,0.482
2290,0.478
2300,0.483
2310,0.486
2320,0.472
2330,0.491
2340,0.467
2350,0.470
2360,0.472
2370,0.457
2380,0.463
2390,0.478
2400,0.480
2410,0.468
2420,0.495
2430,0.468
2440,0.484
2450,0.475
2460,0.471
2470,0.457
2480,0.430
2490,0.437
2500,0.437
2510,0.438
2520,0.456
2530,0.442
2540,0.428
2550,0.418
2560,0.407
2570,0.414
2580,0.418
2590,0.411
2600,0.418
2610,0.428
2620,0.415
2630,0.396
2640,0.413
2650,0.392
2660,0.407
2670,0.409
2680,0.394
2690,0.380
2700,0.413
2710,0.399
2720,0.388
2730,0.413
2740,0.382
2750,0.378
2760,0.367
2770,0.372
2780,0.375
2790,0.367
2800,0.363
2810,0.365
2820,0.364
2830,0.350
2840,0.353
2850,0.348
2860,0.311
2870,0.326
2880,0.332
2890,0.329
2900,0.333
2910,0.322
2920,0.337
2930,0.344
2940,0.341
2950,0.344
2960,0.302
2970,0.315
2980,0.325
2990,0.355
3000,0.341
3010,0.315
3020,0.336
3030,0.349
3040,0.356
3050,0.326
3060,0.315
3070,0.321
3080,0.333
3090,0.348
3100,0.332
3110,0.342
3120,0.327
3130,0.313
3140,0.314
3150,0.332
3160,0.318
3170,0.340
3180,0.322
3190,0.336
3200,0.315
3210,0.314
3220,0.311
3230,0.300
3240,0.294
3250,0.307
3260,0.309
3270,0.309
3280,0.304
3290,0.272
3300,0.300
3310,0.295
3320,0.295
3330,0.265
3340,0.272
3350,0.296
3360,0.276
3370,0.258
3380,0.256
3390,0.261
3400,0.257
3410,0.276
3420,0.253
3430,0.265
3440,0.290
3450,0.288
3460,0.265
3470,0.291
3480,0.275
3490,0.279
3500,0.281
3510,0.267
3520,0.271
3530,0.258
3540,0.263
3550,0.260
3560,0.267
3570,0.253
3580,0.252
3590,0.244
3600,0.258
3610,0.260
3620,0.261
3630,0.241
3640,0.238
3650,0.234
3660,0.253
3670,0.260
3680,0.242
3690,0.246
3700,0.249
3710,0.252
3720,0.221
3730,0.227
3740,0.226
3750,0.240
3760,0.230
3770,0.240
3780,0.242
3790,0.231
3800,0.237
3810,0.222
3820,0.238
3830,0.241
3840,0.225
3850,0.248
3860,0.241
3870,0.231
3880,0.225
3890,0.229
3900,0.217
3910,0.223
3920,0.230
3930,0.234
3940,0.221
3950,0.215
3960,0.194
3970,0.215
3980,0.195
3990,0.195
4000,0.208
4010,0.207
4020,0.195
4030,0.196
4040,0.215
4050,0.207
4060,0.227
4070,0.211
4080,0.208
4090,0.215
4100,0.203
4110,0.202
4120,0.192
4130,0.189
4140,0.175
4150,0.171
4160,0.200
4170,0.179
4180,0.187
4190,0.183
4200,0.181
4210,0.181
4220,0.164
4230,0.160
4240,0.188
4250,0.185
4260,0.179
4270,0.181
4280,0.187
4290,0.184
